
DateTime,PPG,X,Y,Z,
1635923740336,281,74,289,1325,
1635923740343,275,77,289,1316,
1635923740351,300,75,289,1318,
1635923740358,254,77,291,1323,
1635923740366,282,75,287,1329,
1635923740374,296,77,285,1327,
1635923740374,284,77,288,1322,
1635923740374,292,76,291,1320,
1635923740375,462,76,291,1320,
1635923740375,266,77,291,1319,
1635923740376,346,75,289,1324,
1635923740376,297,74,291,1326,
1635923740376,291,76,288,1322,
1635923740376,284,78,289,1322,
1635923740376,290,76,291,1323,
1635923740377,276,77,289,1323,
1635923740384,277,75,290,1324,
1635923740391,252,75,290,1324,
1635923740398,317,75,290,1324,
1635923740405,239,76,288,1321,
1635923740413,243,78,269,1328,
1635923740413,284,104,300,1310,
1635923740413,291,138,250,1326,
1635923740413,334,138,239,1335,
1635923740413,273,134,229,1345,
1635923740413,236,137,233,1340,
1635923740420,284,124,261,1346,
1635923740428,227,124,261,1346,
1635923740435,391,93,315,1306,
1635923740443,316,69,390,1260,
1635923740451,286,36,472,1208,
1635923740451,246,65535,527,1189,
1635923740451,300,65478,456,1337,
1635923740451,277,65489,215,1346,
1635923740451,241,65514,322,1338,
1635923740451,302,18,333,1328,
1635923740458,284,18,333,1328,
1635923740465,321,18,333,1328,
1635923740472,289,125,92,1361,
1635923740479,336,125,92,1361,
1635923740487,265,105,190,1354,
1635923740487,451,92,342,1298,
1635923740487,235,62,320,1315,
1635923740487,257,55,277,1336,
1635923740487,454,70,292,1324,
1635923740488,372,70,292,1324,
1635923740496,455,70,292,1324,
1635923740505,460,80,292,1319,
1635923740514,450,83,289,1324,
1635923740523,494,83,289,1324,
1635923740532,580,79,286,1323,
1635923740532,540,75,286,1324,
1635923740532,475,71,289,1324,
1635923740532,494,76,289,1324,
1635923740532,500,76,289,1324,
1635923740532,311,76,289,1324,
1635923740545,454,76,289,1324,
1635923740558,380,76,289,1324,
1635923740571,396,76,289,1324,
1635923740584,431,76,289,1324,
1635923740598,240,76,289,1324,
1635923740599,389,76,289,1324,
1635923740601,268,76,289,1324,
1635923740602,265,76,289,1324,
1635923740604,297,76,289,1324,
1635923740606,253,76,289,1324,
1635923740606,453,76,289,1324,
1635923740606,259,76,289,1324,
1635923740606,271,76,289,1324,
1635923740606,278,76,289,1324,
1635923740607,279,76,289,1324,
1635923740613,313,76,289,1324,
1635923740620,323,76,289,1324,
1635923740627,327,76,289,1324,
1635923740634,266,76,289,1324,
1635923740641,303,76,289,1324,
1635923740641,309,76,289,1324,
1635923740641,263,76,289,1324,
1635923740641,310,76,289,1324,
1635923740641,321,76,289,1324,
1635923740641,265,76,289,1324,
1635923740647,309,76,289,1324,
1635923740654,309,76,289,1324,
1635923740660,318,76,289,1324,
1635923740667,292,76,289,1324,
1635923740674,380,76,289,1324,
1635923740674,257,76,289,1324,
1635923740674,267,76,289,1324,
1635923740674,365,76,289,1324,
1635923740674,334,76,289,1324,
1635923740675,313,76,289,1324,
1635923740682,300,76,289,1324,
1635923740689,282,76,289,1324,
1635923740696,326,76,289,1324,
1635923740703,311,76,289,1324,
1635923740711,283,76,289,1324,
1635923740711,280,76,289,1324,
1635923740711,341,76,289,1324,
1635923740712,289,76,289,1324,
1635923740712,315,76,289,1324,
1635923740713,370,76,289,1324,
1635923740720,307,76,289,1324,
1635923740727,285,76,289,1324,
1635923740734,286,76,289,1324,
1635923740741,240,76,289,1324,
1635923740749,302,76,289,1324,
1635923740749,319,76,289,1324,
1635923740749,356,76,289,1324,
1635923740749,333,76,289,1324,
1635923740749,315,76,289,1324,
1635923740750,298,76,289,1324,
1635923740758,314,76,289,1324,
1635923740766,286,76,289,1324,
1635923740774,317,76,289,1324,
1635923740782,302,76,289,1324,
1635923740790,320,76,289,1324,
1635923740790,329,76,289,1324,
1635923740790,308,76,289,1324,
1635923740790,295,76,289,1324,
1635923740790,285,76,289,1324,
1635923740790,235,76,289,1324,
1635923740796,300,76,289,1324,
1635923740803,255,76,289,1324,
1635923740810,262,76,289,1324,
1635923740817,318,76,289,1324,
1635923740824,322,76,289,1324,
1635923740824,235,76,289,1324,
1635923740824,295,76,289,1324,
1635923740825,349,76,289,1324,
1635923740825,275,76,289,1324,
